Code,Municipio,Depto,Censo electoral,Participación/Total votos,Abstención,Ganador circunscripción nacional,Votos válidos (Nacional),Alianza Verde,Cambio Radical,Centro Democrático,MIRA,Partido Conservador,Partido de la U,Partido Liberal,Polo Democrático Alternativo,Opción Ciudadana,Voto en blanco (Nacional),Ganador circunscripción indígena,Votos válidos (Indígenas),AICO,ANIC,ASI,Asoc. Autoridades trad. y cabildos indígenas de Colombia,Cabildo Resg. de Calderas,Cabildo San Sebastián de los Lagos,Comunidad de Barrancon,Corp. Indígena Yanacona,Dignidades agropecuarias indígenas,MAIS,Multietnia Colombia,OPIAC,OPIC,Renovación étnica de Colombia,Voto en blanco (Indígenas),Votos válidos (todas las circunscripciones),Votos inválidos,Votos Nulos,Tarjetones No Marcados,%Participación,%Abstención,%Válidos (Nacional),%Alianza Verde,%Cambio Radical,%Centro Democrático,%MIRA,%Partido Conservador,%Partido de la U,%Partido Liberal,%Polo Democrático Alternativo,%Opción Ciudadana,%Blancos (Nacional),%Válidos (Indígenas),%AICO,%ANIC,%ASI,%Asoc. Autoridades trad. y cabildos indígenas de Colombia,%Cabildo Resg. de Calderas,%Cabildo San Sebastián de los Lagos,%Comunidad de Barrancon,%Corp. Indígena Yanacona,%Dignidades agropecuarias indígenas,%MAIS,%Multietnia Colombia,%OPIAC,%OPIC,%Renovación étnica de Colombia,%Blancos (Indígenas),%Válidos (Todas las circunscripciones),%Votos inválidos,%Votos Nulos,%Tarjetones No Marcados
5001,Medellín,Antioquia,1407617,586102,821515,Centro Democrático,476540,18584,17462,208064,9995,55745,33820,53395,32938,3559,42978,Voto en Blanco,12669,187,204,1181,63,214,34,128,61,52,359,121,635,95,210,9125,489209,96893,74200,22693,41.64,58.36,81.31,3.9,3.66,43.66,2.1,11.7,7.1,11.2,6.91,0.75,9.02,2.16,1.48,1.61,9.32,0.5,1.69,0.27,1.01,0.48,0.41,2.83,0.96,5.01,0.75,1.66,72.03,83.47,16.53,12.66,3.87
5002,Abejorral,Antioquia,14933,5476,9457,Centro Democrático,4214,26,51,1768,49,1028,272,811,93,14,102,Voto en Blanco,82,1,3,6,,3,2,,,,,2,2,2,2,59,4296,1180,482,698,36.67,63.33,76.95,0.62,1.21,41.96,1.16,24.39,6.45,19.25,2.21,0.33,2.42,1.5,1.22,3.66,7.32,0,3.66,2.44,0,0,0,0,2.44,2.44,2.44,2.44,71.95,78.45,21.55,8.8,12.75
5004,Abriaquí,Antioquia,1909,808,1101,Partido Conservador,697,6,26,106,1,457,38,47,5,3,8,Voto en Blanco,2,,,,,,,,,,,,,,,2,699,109,30,79,42.33,57.67,86.26,0.86,3.73,15.21,0.14,65.57,5.45,6.74,0.72,0.43,1.15,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,86.51,13.49,3.71,9.78
5021,Alejandría,Antioquia,4350,2068,2282,Partido Conservador,1753,18,13,131,,1004,95,408,14,11,59,Voto en Blanco,12,,,,,,,,,,,1,,,,11,1765,303,101,202,47.54,52.46,84.77,1.03,0.74,7.47,0,57.27,5.42,23.27,0.8,0.63,3.37,0.58,0,0,0,0,0,0,0,0,0,0,8.33,0,0,0,91.67,85.35,14.65,4.88,9.77
5030,Amagá,Antioquia,20732,7481,13251,Partido de la U,5922,131,207,1438,63,667,2199,527,250,59,381,Voto en Blanco,157,7,5,18,,5,,3,2,,7,3,1,1,3,102,6079,1402,772,630,36.08,63.92,79.16,2.21,3.5,24.28,1.06,11.26,37.13,8.9,4.22,1,6.43,2.1,4.46,3.18,11.46,0,3.18,0,1.91,1.27,0,4.46,1.91,0.64,0.64,1.91,64.97,81.26,18.74,10.32,8.42
5031,Amalfi,Antioquia,15434,3435,11999,Centro Democrático,2626,37,79,867,115,354,316,493,134,45,186,Voto en Blanco,91,1,2,29,1,1,2,,,1,5,3,2,,4,40,2717,718,282,436,22.26,77.74,76.45,1.41,3.01,33.02,4.38,13.48,12.03,18.77,5.1,1.71,7.08,2.65,1.1,2.2,31.87,1.1,1.1,2.2,0,0,1.1,5.49,3.3,2.2,0,4.4,43.96,79.1,20.9,8.21,12.69
5034,Andes,Antioquia,32870,14796,18074,Centro Democrático,12133,79,127,3790,47,3158,3523,433,482,86,408,Voto en Blanco,179,3,3,65,1,3,,11,,1,13,4,2,1,1,71,12312,2484,940,1544,45.01,54.99,82,0.65,1.05,31.24,0.39,26.03,29.04,3.57,3.97,0.71,3.36,1.21,1.68,1.68,36.31,0.56,1.68,0,6.15,0,0.56,7.26,2.23,1.12,0.56,0.56,39.66,83.21,16.79,6.35,10.44
5036,Angelópolis,Antioquia,5461,2300,3161,Partido Conservador,1870,13,90,354,8,608,354,325,40,4,74,Voto en Blanco,33,1,1,7,1,2,1,1,,,,,1,1,1,16,1903,397,200,197,42.12,57.88,81.3,0.7,4.81,18.93,0.43,32.51,18.93,17.38,2.14,0.21,3.96,1.43,3.03,3.03,21.21,3.03,6.06,3.03,3.03,0,0,0,0,3.03,3.03,3.03,48.48,82.74,17.26,8.7,8.57
5038,Angostura,Antioquia,8565,3287,5278,Partido Conservador,2189,41,30,199,7,1493,216,47,49,8,99,Voto en Blanco,52,,,9,,1,,1,,1,1,5,2,1,2,29,2241,1046,379,667,38.38,61.62,66.6,1.87,1.37,9.09,0.32,68.2,9.87,2.15,2.24,0.37,4.52,1.58,0,0,17.31,0,1.92,0,1.92,0,1.92,1.92,9.62,3.85,1.92,3.85,55.77,68.18,31.82,11.53,20.29
5040,Anorí,Antioquia,10171,1890,8281,Partido Liberal,1427,55,23,293,13,183,78,650,34,7,91,Voto en Blanco,30,,1,1,,,,2,,2,2,,,,,22,1457,433,127,306,18.58,81.42,75.5,3.85,1.61,20.53,0.91,12.82,5.47,45.55,2.38,0.49,6.38,1.59,0,3.33,3.33,0,0,0,6.67,0,6.67,6.67,0,0,0,0,73.33,77.09,22.91,6.72,16.19
5042,Santafé de Antioquia,Antioquia,18231,6480,11751,Partido de la U,5041,82,112,1246,25,610,1693,584,284,48,357,Voto en Blanco,91,,1,6,1,3,1,1,,1,4,3,2,1,2,65,5132,1348,595,753,35.54,64.46,77.79,1.63,2.22,24.72,0.5,12.1,33.58,11.59,5.63,0.95,7.08,1.4,0,1.1,6.59,1.1,3.3,1.1,1.1,0,1.1,4.4,3.3,2.2,1.1,2.2,71.43,79.2,20.8,9.18,11.62
5044,Anza,Antioquia,5265,2035,3230,Partido de la U,1543,8,17,379,36,285,416,335,19,10,38,Voto en Blanco,20,,,2,1,3,,,,,1,,1,,,12,1563,472,151,321,38.65,61.35,75.82,0.52,1.1,24.56,2.33,18.47,26.96,21.71,1.23,0.65,2.46,0.98,0,0,10,5,15,0,0,0,0,5,0,5,0,0,60,76.81,23.19,7.42,15.77
5045,Apartadó,Antioquia,80991,28699,52292,Centro Democrático,22162,558,1473,5426,1111,2093,5291,3359,863,336,1652,Voto en Blanco,1064,226,24,276,4,13,1,5,7,4,71,10,11,10,11,391,23226,5473,3392,2081,35.43,64.57,77.22,2.52,6.65,24.48,5.01,9.44,23.87,15.16,3.89,1.52,7.45,3.71,21.24,2.26,25.94,0.38,1.22,0.09,0.47,0.66,0.38,6.67,0.94,1.03,0.94,1.03,36.75,80.93,19.07,11.82,7.25
5051,Arboletes,Antioquia,21333,10126,11207,Partido de la U,7990,71,252,462,20,2033,3652,633,105,661,101,MAIS,114,3,5,25,,4,,1,,2,43,4,2,1,,24,8104,2022,1030,992,47.47,52.53,78.91,0.89,3.15,5.78,0.25,25.44,45.71,7.92,1.31,8.27,1.26,1.13,2.63,4.39,21.93,0,3.51,0,0.88,0,1.75,37.72,3.51,1.75,0.88,0,21.05,80.03,19.97,10.17,9.8
5055,Argelia,Antioquia,6481,2473,4008,Centro Democrático,1968,10,8,1151,5,335,286,67,19,46,41,Voto en Blanco,25,,2,2,,2,,,,,,2,,,2,15,1993,480,167,313,38.16,61.84,79.58,0.51,0.41,58.49,0.25,17.02,14.53,3.4,0.97,2.34,2.08,1.01,0,8,8,0,8,0,0,0,0,0,8,0,0,8,60,80.59,19.41,6.75,12.66
5059,Armenia,Antioquia,4835,1842,2993,Partido Liberal,1379,3,18,262,3,337,23,648,29,7,49,Voto en Blanco,10,1,,,,1,,,,,,,,,1,7,1389,453,214,239,38.1,61.9,74.86,0.22,1.31,19,0.22,24.44,1.67,46.99,2.1,0.51,3.55,0.54,10,0,0,0,10,0,0,0,0,0,0,0,0,10,70,75.41,24.59,11.62,12.98
5079,Barbosa,Antioquia,35281,14618,20663,Partido Liberal,11945,241,470,2809,83,2386,1533,3264,411,63,685,Voto en Blanco,231,2,4,32,1,5,,3,1,1,7,5,7,3,1,159,12176,2442,1409,1033,41.43,58.57,81.71,2.02,3.93,23.52,0.69,19.97,12.83,27.33,3.44,0.53,5.73,1.58,0.87,1.73,13.85,0.43,2.16,0,1.3,0.43,0.43,3.03,2.16,3.03,1.3,0.43,68.83,83.29,16.71,9.64,7.07
5086,Belmira,Antioquia,4453,2108,2345,Partido Liberal,1856,8,36,168,5,675,15,869,16,4,60,Voto en Blanco,17,1,,1,,1,,,,1,,,,,,13,1873,235,124,111,47.34,52.66,88.05,0.43,1.94,9.05,0.27,36.37,0.81,46.82,0.86,0.22,3.23,0.81,5.88,0,5.88,0,5.88,0,0,0,5.88,0,0,0,0,0,76.47,88.85,11.15,5.88,5.27
5088,Bello,Antioquia,294886,106358,188528,Partido Conservador,84505,3275,3286,22687,1923,23252,5439,10656,5109,677,8201,Voto en Blanco,2264,32,55,122,9,30,6,37,12,6,43,28,115,17,45,1707,86769,19589,14668,4921,36.07,63.93,79.45,3.88,3.89,26.85,2.28,27.52,6.44,12.61,6.05,0.8,9.7,2.13,1.41,2.43,5.39,0.4,1.33,0.27,1.63,0.53,0.27,1.9,1.24,5.08,0.75,1.99,75.4,81.58,18.42,13.79,4.63
5091,Betania,Antioquia,8224,3623,4601,Partido Liberal,2741,12,43,772,13,598,91,1097,35,15,65,Voto en Blanco,24,4,,1,,,1,,,1,,,,,,17,2765,858,414,444,44.05,55.95,75.66,0.44,1.57,28.16,0.47,21.82,3.32,40.02,1.28,0.55,2.37,0.66,16.67,0,4.17,0,0,4.17,0,0,4.17,0,0,0,0,0,70.83,76.32,23.68,11.43,12.26
5093,Betulia,Antioquia,12747,4685,8062,Centro Democrático,3404,67,127,1614,9,521,186,739,45,4,92,Voto en Blanco,38,,3,3,1,,,1,,1,1,2,1,2,5,18,3442,1243,461,782,36.75,63.25,72.66,1.97,3.73,47.41,0.26,15.31,5.46,21.71,1.32,0.12,2.7,0.81,0,7.89,7.89,2.63,0,0,2.63,0,2.63,2.63,5.26,2.63,5.26,13.16,47.37,73.47,26.53,9.84,16.69
5101,Ciudad Bolívar,Antioquia,23137,7794,15343,Centro Democrático,5867,64,332,2464,58,1213,482,676,149,55,374,MAIS,221,2,2,9,2,,,3,1,,109,2,2,1,,88,6088,1706,897,809,33.69,66.31,75.28,1.09,5.66,42,0.99,20.67,8.22,11.52,2.54,0.94,6.37,2.84,0.9,0.9,4.07,0.9,0,0,1.36,0.45,0,49.32,0.9,0.9,0.45,0,39.82,78.11,21.89,11.51,10.38
5107,Briceño,Antioquia,5817,1507,4310,Partido Conservador,1186,5,16,60,7,602,16,438,10,6,26,ASI,19,1,,10,,,,,,,,,,,1,7,1205,302,81,221,25.91,74.09,78.7,0.42,1.35,5.06,0.59,50.76,1.35,36.93,0.84,0.51,2.19,1.26,5.26,0,52.63,0,0,0,0,0,0,0,0,0,0,5.26,36.84,79.96,20.04,5.37,14.66
5113,Buriticá,Antioquia,6407,2055,4352,Partido Conservador,1542,16,18,300,3,531,220,373,33,5,43,Voto en Blanco,17,,,1,,4,,,,,,2,,,,10,1559,496,208,288,32.07,67.93,75.04,1.04,1.17,19.46,0.19,34.44,14.27,24.19,2.14,0.32,2.79,0.83,0,0,5.88,0,23.53,0,0,0,0,0,11.76,0,0,0,58.82,75.86,24.14,10.12,14.01
5120,Cáceres,Antioquia,19096,7461,11635,Partido Liberal,5500,179,653,186,8,467,1428,2359,67,34,119,MAIS,107,7,5,13,,3,1,,,2,44,1,,2,1,28,5607,1854,820,1034,39.07,60.93,73.72,3.25,11.87,3.38,0.15,8.49,25.96,42.89,1.22,0.62,2.16,1.43,6.54,4.67,12.15,0,2.8,0.93,0,0,1.87,41.12,0.93,0,1.87,0.93,26.17,75.15,24.85,10.99,13.86
5125,Caicedo,Antioquia,5766,2096,3670,Partido Liberal,1567,8,37,515,8,125,279,522,21,7,45,Voto en Blanco,14,,,2,,2,,,,,1,,,,,9,1581,515,166,349,36.35,63.65,74.76,0.51,2.36,32.87,0.51,7.98,17.8,33.31,1.34,0.45,2.87,0.67,0,0,14.29,0,14.29,0,0,0,0,7.14,0,0,0,0,64.29,75.43,24.57,7.92,16.65
5129,Caldas,Antioquia,55671,24087,31584,Centro Democrático,18210,474,1458,4396,681,2724,3708,1693,960,89,2027,Voto en Blanco,719,24,8,29,5,12,3,1,3,2,20,8,12,3,5,584,18929,5158,3641,1517,43.27,56.73,75.6,2.6,8.01,24.14,3.74,14.96,20.36,9.3,5.27,0.49,11.13,2.99,3.34,1.11,4.03,0.7,1.67,0.42,0.14,0.42,0.28,2.78,1.11,1.67,0.42,0.7,81.22,78.59,21.41,15.12,6.3
5134,Campamento,Antioquia,5899,1706,4193,Partido Liberal,1380,14,24,89,3,536,43,604,23,4,40,Voto en Blanco,22,,1,2,,5,,1,,,1,,1,,,11,1402,304,137,167,28.92,71.08,80.89,1.01,1.74,6.45,0.22,38.84,3.12,43.77,1.67,0.29,2.9,1.29,0,4.55,9.09,0,22.73,0,4.55,0,0,4.55,0,4.55,0,0,50,82.18,17.82,8.03,9.79
5138,Cañasgordas,Antioquia,12623,6559,6064,Partido Conservador,5620,35,32,1397,12,3432,86,414,76,18,118,Voto en Blanco,42,,1,3,1,2,,,1,,1,1,3,1,,28,5662,897,316,581,51.96,48.04,85.68,0.62,0.57,24.86,0.21,61.07,1.53,7.37,1.35,0.32,2.1,0.64,0,2.38,7.14,2.38,4.76,0,0,2.38,0,2.38,2.38,7.14,2.38,0,66.67,86.32,13.68,4.82,8.86
5142,Caracolí,Antioquia,4633,1649,2984,Partido Conservador,1405,105,61,284,12,809,49,39,13,1,32,Voto en Blanco,13,,,1,,1,,,,,,1,,,,10,1418,231,116,115,35.59,64.41,85.2,7.47,4.34,20.21,0.85,57.58,3.49,2.78,0.93,0.07,2.28,0.79,0,0,7.69,0,7.69,0,0,0,0,0,7.69,0,0,0,76.92,85.99,14.01,7.03,6.97
5145,Caramanta,Antioquia,5145,1965,3180,Partido Liberal,1453,16,36,407,11,286,108,515,34,7,33,Voto en Blanco,23,,1,2,1,,,,,,2,,,2,,15,1476,489,238,251,38.19,61.81,73.94,1.1,2.48,28.01,0.76,19.68,7.43,35.44,2.34,0.48,2.27,1.17,0,4.35,8.7,4.35,0,0,0,0,0,8.7,0,0,8.7,0,65.22,75.11,24.89,12.11,12.77
5147,Carepa,Antioquia,38195,13943,24252,Partido Liberal,10417,165,806,1905,1113,1070,2023,2157,149,427,602,ASI,376,20,12,144,3,10,1,3,2,3,27,1,5,4,3,138,10793,3150,1618,1532,36.5,63.5,74.71,1.58,7.74,18.29,10.68,10.27,19.42,20.71,1.43,4.1,5.78,2.7,5.32,3.19,38.3,0.8,2.66,0.27,0.8,0.53,0.8,7.18,0.27,1.33,1.06,0.8,36.7,77.41,22.59,11.6,10.99
5148,El Carmen de Viboral,Antioquia,30320,15272,15048,Centro Democrático,12212,401,669,3525,284,1292,3146,846,767,251,1031,Voto en Blanco,357,8,3,37,,4,,3,4,2,6,3,53,2,4,228,12569,2703,1720,983,50.37,49.63,79.96,3.28,5.48,28.87,2.33,10.58,25.76,6.93,6.28,2.06,8.44,2.34,2.24,0.84,10.36,0,1.12,0,0.84,1.12,0.56,1.68,0.84,14.85,0.56,1.12,63.87,82.3,17.7,11.26,6.44
5150,Carolina,Antioquia,4048,1307,2741,Partido Conservador,1060,26,129,215,2,330,23,226,39,3,67,Voto en Blanco,17,,,1,,,,,1,,1,,1,,,13,1077,230,126,104,32.29,67.71,81.1,2.45,12.17,20.28,0.19,31.13,2.17,21.32,3.68,0.28,6.32,1.3,0,0,5.88,0,0,0,0,5.88,0,5.88,0,5.88,0,0,76.47,82.4,17.6,9.64,7.96
5154,Caucasia,Antioquia,60360,26126,34234,Partido de la U,20576,397,1275,2396,270,2464,8161,3001,1122,375,1115,Voto en Blanco,427,5,15,51,4,12,1,7,2,3,17,10,7,14,5,274,21003,5123,2845,2278,43.28,56.72,78.76,1.93,6.2,11.64,1.31,11.98,39.66,14.58,5.45,1.82,5.42,1.63,1.17,3.51,11.94,0.94,2.81,0.23,1.64,0.47,0.7,3.98,2.34,1.64,3.28,1.17,64.17,80.39,19.61,10.89,8.72
5172,Chigorodó,Antioquia,41194,15239,25955,Partido de la U,11847,157,719,1736,377,1365,4457,1951,305,102,678,Voto en Blanco,418,28,5,27,3,3,17,4,1,1,137,8,2,12,5,165,12265,2974,1564,1410,36.99,63.01,77.74,1.33,6.07,14.65,3.18,11.52,37.62,16.47,2.57,0.86,5.72,2.74,6.7,1.2,6.46,0.72,0.72,4.07,0.96,0.24,0.24,32.78,1.91,0.48,2.87,1.2,39.47,80.48,19.52,10.26,9.25
5190,Cisneros,Antioquia,11045,4456,6589,Partido Conservador,3677,42,111,418,25,1507,210,1055,112,19,178,Voto en Blanco,41,,,1,,2,,,,,,1,1,,2,34,3718,738,389,349,40.34,59.66,82.52,1.14,3.02,11.37,0.68,40.98,5.71,28.69,3.05,0.52,4.84,0.92,0,0,2.44,0,4.88,0,0,0,0,0,2.44,2.44,0,4.88,82.93,83.44,16.56,8.73,7.83
5197,Cocorná,Antioquia,12245,5412,6833,Partido Conservador,4427,24,35,1241,14,2717,83,86,125,23,79,Voto en Blanco,34,,1,4,1,3,,,,1,2,6,1,,1,14,4461,951,316,635,44.2,55.8,81.8,0.54,0.79,28.03,0.32,61.37,1.87,1.94,2.82,0.52,1.78,0.63,0,2.94,11.76,2.94,8.82,0,0,0,2.94,5.88,17.65,2.94,0,2.94,41.18,82.43,17.57,5.84,11.73
5206,Concepción,Antioquia,4481,1786,2695,Centro Democrático,1449,32,25,509,4,420,38,337,23,7,54,Voto en Blanco,27,2,1,,,1,,,,,2,1,,,,20,1476,310,109,201,39.86,60.14,81.13,2.21,1.73,35.13,0.28,28.99,2.62,23.26,1.59,0.48,3.73,1.51,7.41,3.7,0,0,3.7,0,0,0,0,7.41,3.7,0,0,0,74.07,82.64,17.36,6.1,11.25
5209,Concordia,Antioquia,15301,5189,10112,Centro Democrático,3939,31,137,2123,16,327,350,724,92,8,131,Voto en Blanco,56,,1,9,,,2,1,1,,2,3,4,,3,30,3995,1194,555,639,33.91,66.09,75.91,0.79,3.48,53.9,0.41,8.3,8.89,18.38,2.34,0.2,3.33,1.08,0,1.79,16.07,0,0,3.57,1.79,1.79,0,3.57,5.36,7.14,0,5.36,53.57,76.99,23.01,10.7,12.31
5212,Copacabana,Antioquia,55600,23020,32580,Centro Democrático,18096,451,1167,4868,219,2372,2420,3267,1433,121,1778,Voto en Blanco,553,14,11,26,2,11,5,3,6,3,13,9,34,2,11,403,18649,4371,3202,1169,41.4,58.6,78.61,2.49,6.45,26.9,1.21,13.11,13.37,18.05,7.92,0.67,9.83,2.4,2.53,1.99,4.7,0.36,1.99,0.9,0.54,1.08,0.54,2.35,1.63,6.15,0.36,1.99,72.88,81.01,18.99,13.91,5.08
5234,Dabeiba,Antioquia,15736,4811,10925,Partido Liberal,3606,87,549,490,18,872,474,960,36,27,93,MAIS,75,4,,24,,4,,1,,,27,,,,,15,3681,1130,515,615,30.57,69.43,74.95,2.41,15.22,13.59,0.5,24.18,13.14,26.62,1,0.75,2.58,1.56,5.33,0,32,0,5.33,0,1.33,0,0,36,0,0,0,0,20,76.51,23.49,10.7,12.78
5237,Don Matías,Antioquia,15597,6383,9214,Partido Conservador,5256,88,55,2113,18,2208,116,234,109,26,289,Voto en Blanco,96,1,3,6,,5,,,1,,1,1,14,,1,63,5352,1031,553,478,40.92,59.08,82.34,1.67,1.05,40.2,0.34,42.01,2.21,4.45,2.07,0.49,5.5,1.5,1.04,3.13,6.25,0,5.21,0,0,1.04,0,1.04,1.04,14.58,0,1.04,65.63,83.85,16.15,8.66,7.49
5240,Ebéjico,Antioquia,11064,3975,7089,Partido Liberal,3266,69,58,974,4,758,92,1162,40,7,102,Voto en Blanco,29,1,1,2,1,1,,,1,,1,3,,,,18,3295,680,290,390,35.93,64.07,82.16,2.11,1.78,29.82,0.12,23.21,2.82,35.58,1.22,0.21,3.12,0.73,3.45,3.45,6.9,3.45,3.45,0,0,3.45,0,3.45,10.34,0,0,0,62.07,82.89,17.11,7.3,9.81
5250,El Bagre,Antioquia,32887,12401,20486,Partido Conservador,9247,193,707,960,84,4059,1531,1104,184,54,371,Voto en Blanco,241,3,4,71,,4,1,,1,,33,4,7,1,3,109,9488,2913,1618,1295,37.71,62.29,74.57,2.09,7.65,10.38,0.91,43.9,16.56,11.94,1.99,0.58,4.01,1.94,1.24,1.66,29.46,0,1.66,0.41,0,0.41,0,13.69,1.66,2.9,0.41,1.24,45.23,76.51,23.49,13.05,10.44
5264,Entrerrios,Antioquia,7457,2472,4985,Centro Democrático,2431,26,26,870,3,396,51,847,56,2,154,Voto en Blanco,41,1,1,3,1,2,,,,,1,1,,,,31,2472,0,0,0,33.15,66.85,98.34,1.07,1.07,35.79,0.12,16.29,2.1,34.84,2.3,0.08,6.33,1.66,2.44,2.44,7.32,2.44,4.88,0,0,0,0,2.44,2.44,0,0,0,75.61,100,0,0,0
5266,Envigado,Antioquia,223949,94723,129226,Centro Democrático,77630,2498,5037,35241,1175,8550,4376,7931,4462,402,7958,Voto en Blanco,2073,23,32,110,16,25,4,4,11,6,32,15,113,10,34,1638,79703,15020,11698,3322,42.3,57.7,81.95,3.22,6.49,45.4,1.51,11.01,5.64,10.22,5.75,0.52,10.25,2.19,1.11,1.54,5.31,0.77,1.21,0.19,0.19,0.53,0.29,1.54,0.72,5.45,0.48,1.64,79.02,84.14,15.86,12.35,3.51
5282,Fredonia,Antioquia,17675,6562,11113,Partido Conservador,5432,86,160,1136,28,2124,497,870,197,63,271,Voto en Blanco,109,3,1,11,,2,,1,,,2,2,1,,2,84,5541,1021,493,528,37.13,62.87,82.78,1.58,2.95,20.91,0.52,39.1,9.15,16.02,3.63,1.16,4.99,1.66,2.75,0.92,10.09,0,1.83,0,0.92,0,0,1.83,1.83,0.92,0,1.83,77.06,84.44,15.56,7.51,8.05
5284,Frontino,Antioquia,16087,4500,11587,Partido Liberal,3243,87,119,486,14,522,407,1334,60,23,191,MAIS,213,,,2,1,1,,2,,,169,5,1,3,1,28,3456,1044,463,581,27.97,72.03,72.07,2.68,3.67,14.99,0.43,16.1,12.55,41.13,1.85,0.71,5.89,4.73,0,0,0.94,0.47,0.47,0,0.94,0,0,79.34,2.35,0.47,1.41,0.47,13.15,76.8,23.2,10.29,12.91
5306,Giraldo,Antioquia,3633,1734,1899,Partido Conservador,1455,6,17,359,2,513,130,331,57,13,27,Voto en Blanco,20,3,,,1,,,,,,3,,2,,,11,1475,259,120,139,47.73,52.27,83.91,0.41,1.17,24.67,0.14,35.26,8.93,22.75,3.92,0.89,1.86,1.15,15,0,0,5,0,0,0,0,0,15,0,10,0,0,55,85.06,14.94,6.92,8.02
5308,Girardota,Antioquia,42330,16188,26142,Partido Conservador,12721,342,342,2752,107,3018,2634,1472,741,59,1254,Voto en Blanco,330,3,6,20,2,4,,2,3,1,,,11,3,6,269,13051,3137,2270,867,38.24,61.76,78.58,2.69,2.69,21.63,0.84,23.72,20.71,11.57,5.83,0.46,9.86,2.04,0.91,1.82,6.06,0.61,1.21,0,0.61,0.91,0.3,0,0,3.33,0.91,1.82,81.52,80.62,19.38,14.02,5.36
5310,Gómez Plata,Antioquia,7895,2719,5176,Partido Liberal,2144,83,37,329,9,500,397,596,36,14,143,Voto en Blanco,52,,2,,,1,1,1,,,,,,1,,46,2196,523,297,226,34.44,65.56,78.85,3.87,1.73,15.35,0.42,23.32,18.52,27.8,1.68,0.65,6.67,1.91,0,3.85,0,0,1.92,1.92,1.92,0,0,0,0,0,1.92,0,88.46,80.76,19.24,10.92,8.31
5313,Granada,Antioquia,9967,3095,6872,Partido Conservador,2188,23,55,741,11,803,235,118,106,6,90,Voto en Blanco,38,,1,3,1,,,,,2,,,1,,2,28,2226,869,335,534,31.05,68.95,70.69,1.05,2.51,33.87,0.5,36.7,10.74,5.39,4.84,0.27,4.11,1.23,0,2.63,7.89,2.63,0,0,0,0,5.26,0,0,2.63,0,5.26,73.68,71.92,28.08,10.82,17.25
5315,Guadalupe,Antioquia,5519,1816,3703,Partido Liberal,1445,7,27,94,13,398,74,745,11,5,71,Voto en Blanco,21,,,2,,1,,,,,1,,1,,,16,1466,350,163,187,32.9,67.1,79.57,0.48,1.87,6.51,0.9,27.54,5.12,51.56,0.76,0.35,4.91,1.16,0,0,9.52,0,4.76,0,0,0,0,4.76,0,4.76,0,0,76.19,80.73,19.27,8.98,10.3
5318,Guarne,Antioquia,28656,13523,15133,Centro Democrático,10411,203,218,3208,67,1663,2511,798,481,430,832,Voto en Blanco,347,10,5,28,2,8,,4,1,1,4,4,15,3,3,259,10758,2765,1684,1081,47.19,52.81,76.99,1.95,2.09,30.81,0.64,15.97,24.12,7.66,4.62,4.13,7.99,2.57,2.88,1.44,8.07,0.58,2.31,0,1.15,0.29,0.29,1.15,1.15,4.32,0.86,0.86,74.64,79.55,20.45,12.45,7.99
5321,Guatapé,Antioquia,5987,3592,2395,Partido de la U,3154,28,64,642,2,586,1548,58,84,7,135,Voto en Blanco,22,2,,3,,,,,,,2,,3,,,12,3176,416,209,207,60,40,87.81,0.89,2.03,20.36,0.06,18.58,49.08,1.84,2.66,0.22,4.28,0.61,9.09,0,13.64,0,0,0,0,0,0,9.09,0,13.64,0,0,54.55,88.42,11.58,5.82,5.76
5347,Heliconia,Antioquia,5825,2260,3565,Partido Conservador,1799,9,15,265,7,787,337,262,46,3,68,Voto en Blanco,26,,1,3,,1,,,1,,2,,3,2,,13,1825,435,195,240,38.8,61.2,79.6,0.5,0.83,14.73,0.39,43.75,18.73,14.56,2.56,0.17,3.78,1.15,0,3.85,11.54,0,3.85,0,0,3.85,0,7.69,0,11.54,7.69,0,50,80.75,19.25,8.63,10.62
5353,Hispania,Antioquia,5050,2075,2975,Partido Conservador,1774,20,100,340,4,597,99,504,37,12,61,Voto en Blanco,17,,2,1,,1,,,,,,1,,1,,11,1791,284,132,152,41.09,58.91,85.49,1.13,5.64,19.17,0.23,33.65,5.58,28.41,2.09,0.68,3.44,0.82,0,11.76,5.88,0,5.88,0,0,0,0,0,5.88,0,5.88,0,64.71,86.31,13.69,6.36,7.33
5360,Itagui,Antioquia,229277,88525,140752,Partido Conservador,73619,2052,2545,20628,2028,28013,2820,5124,3808,569,6032,Voto en Blanco,1732,26,24,178,10,28,8,9,10,5,28,10,57,13,22,1304,75351,13174,9621,3553,38.61,61.39,83.16,2.79,3.46,28.02,2.75,38.05,3.83,6.96,5.17,0.77,8.19,1.96,1.5,1.39,10.28,0.58,1.62,0.46,0.52,0.58,0.29,1.62,0.58,3.29,0.75,1.27,75.29,85.12,14.88,10.87,4.01
