Code,Municipio,Depto,Censo electoral,Participación/Total votos,Abstención,Ganador circunscripción nacional,Votos válidos (Nacional),Alianza Verde,Cambio Radical,Centro Democrático,MIRA,Partido Conservador,Partido de la U,Partido Liberal,Polo Democrático Alternativo,Opción Ciudadana,Voto en blanco (Nacional),Ganador circunscripción indígena,Votos válidos (Indígenas),AICO,ANIC,ASI,Asoc. Autoridades trad. y cabildos indígenas de Colombia,Cabildo Resg. de Calderas,Cabildo San Sebastián de los Lagos,Comunidad de Barrancon,Corp. Indígena Yanacona,Dignidades agropecuarias indígenas,MAIS,Multietnia Colombia,OPIAC,OPIC,Renovación étnica de Colombia,Voto en blanco (Indígenas),Votos válidos (todas las circunscripciones),Votos inválidos,Votos Nulos,Tarjetones No Marcados,%Participación,%Abstención,%Válidos (Nacional),%Alianza Verde,%Cambio Radical,%Centro Democrático,%MIRA,%Partido Conservador,%Partido de la U,%Partido Liberal,%Polo Democrático Alternativo,%Opción Ciudadana,%Blancos (Nacional),%Válidos (Indígenas),%AICO,%ANIC,%ASI,%Asoc. Autoridades trad. y cabildos indígenas de Colombia,%Cabildo Resg. de Calderas,%Cabildo San Sebastián de los Lagos,%Comunidad de Barrancon,%Corp. Indígena Yanacona,%Dignidades agropecuarias indígenas,%MAIS,%Multietnia Colombia,%OPIAC,%OPIC,%Renovación étnica de Colombia,%Blancos (Indígenas),%Válidos (Todas las circunscripciones),%Votos inválidos,%Votos Nulos,%Tarjetones No Marcados
68500,Oiba,Santander,8074,4189,3885,Opción Ciudadana,3496,19,356,345,50,217,125,855,83,1267,179,Voto en Blanco,45,1,2,4,,1,,2,,1,3,2,,,1,28,3541,648,400,248,51.88,48.12,83.46,0.54,10.18,9.87,1.43,6.21,3.58,24.46,2.37,36.24,5.12,1.07,2.22,4.44,8.89,0,2.22,0,4.44,0,2.22,6.67,4.44,0,0,2.22,62.22,84.53,15.47,9.55,5.92
68502,Onzaga,Santander,3818,1866,1952,Opción Ciudadana,1412,9,95,95,2,305,10,275,30,534,57,Voto en Blanco,34,1,3,1,,2,,1,1,,,3,1,1,2,18,1446,420,217,203,48.87,51.13,75.67,0.64,6.73,6.73,0.14,21.6,0.71,19.48,2.12,37.82,4.04,1.82,2.94,8.82,2.94,0,5.88,0,2.94,2.94,0,0,8.82,2.94,2.94,5.88,52.94,77.49,22.51,11.63,10.88
68522,Palmar,Santander,1306,716,590,Opción Ciudadana,713,2,51,27,1,30,47,254,1,290,10,Empate,3,,,1,,,,,,,,,,,1,1,716,0,0,0,54.82,45.18,99.58,0.28,7.15,3.79,0.14,4.21,6.59,35.62,0.14,40.67,1.4,0.42,0,0,33.33,0,0,0,0,0,0,0,0,0,0,33.33,33.33,100,0,0,0
68524,Palmas del Socorro,Santander,2398,1237,1161,Partido Liberal,1075,3,56,100,7,209,40,385,15,228,32,Voto en Blanco,9,,,,,1,,,,,,1,1,,,6,1084,153,101,52,51.58,48.42,86.9,0.28,5.21,9.3,0.65,19.44,3.72,35.81,1.4,21.21,2.98,0.73,0,0,0,0,11.11,0,0,0,0,0,11.11,11.11,0,0,66.67,87.63,12.37,8.16,4.2
68533,Páramo,Santander,2923,1955,968,Partido Liberal,1770,1,37,108,3,297,19,674,32,527,72,Voto en Blanco,15,,1,,,,,,1,,,1,1,,,11,1785,170,106,64,66.88,33.12,90.54,0.06,2.09,6.1,0.17,16.78,1.07,38.08,1.81,29.77,4.07,0.77,0,6.67,0,0,0,0,0,6.67,0,0,6.67,6.67,0,0,73.33,91.3,8.7,5.42,3.27
68547,Piedecuesta,Santander,92084,47454,44630,Partido Liberal,39210,837,3645,6808,722,6500,1511,7700,1910,5861,3716,Voto en Blanco,1029,38,19,258,8,15,2,6,2,4,26,9,46,3,13,580,40239,7215,5246,1969,51.53,48.47,82.63,2.13,9.3,17.36,1.84,16.58,3.85,19.64,4.87,14.95,9.48,2.17,3.69,1.85,25.07,0.78,1.46,0.19,0.58,0.19,0.39,2.53,0.87,4.47,0.29,1.26,56.37,84.8,15.2,11.05,4.15
68549,Pinchote,Santander,2905,1914,991,Opción Ciudadana,1685,12,43,182,4,73,62,310,69,859,71,Voto en Blanco,19,1,1,5,,1,,,,1,,,,,,10,1704,210,142,68,65.89,34.11,88.04,0.71,2.55,10.8,0.24,4.33,3.68,18.4,4.09,50.98,4.21,0.99,5.26,5.26,26.32,0,5.26,0,0,0,5.26,0,0,0,0,0,52.63,89.03,10.97,7.42,3.55
68572,Puente Nacional,Santander,12277,5732,6545,Partido Liberal,4966,77,466,235,116,609,533,1775,98,821,236,Voto en Blanco,55,3,1,,1,3,2,1,,,2,2,,1,1,38,5021,711,473,238,46.69,53.31,86.64,1.55,9.38,4.73,2.34,12.26,10.73,35.74,1.97,16.53,4.75,0.96,5.45,1.82,0,1.82,5.45,3.64,1.82,0,0,3.64,3.64,0,1.82,1.82,69.09,87.6,12.4,8.25,4.15
68573,Puerto Parra,Santander,5173,2204,2969,Opción Ciudadana,1791,12,41,221,2,42,35,514,14,864,46,Voto en Blanco,24,1,,4,,,,2,,,3,,,1,2,11,1815,389,203,186,42.61,57.39,81.26,0.67,2.29,12.34,0.11,2.35,1.95,28.7,0.78,48.24,2.57,1.09,4.17,0,16.67,0,0,0,8.33,0,0,12.5,0,0,4.17,8.33,45.83,82.35,17.65,9.21,8.44
68575,Puerto Wilches,Santander,22160,10489,11671,Opción Ciudadana,8892,133,614,729,54,338,330,2606,303,3499,286,Voto en Blanco,115,6,3,11,1,4,2,3,1,1,9,1,6,3,3,61,9007,1482,843,639,47.33,52.67,84.77,1.5,6.91,8.2,0.61,3.8,3.71,29.31,3.41,39.35,3.22,1.1,5.22,2.61,9.57,0.87,3.48,1.74,2.61,0.87,0.87,7.83,0.87,5.22,2.61,2.61,53.04,85.87,14.13,8.04,6.09
